Fighter,Event,EventDate,FightOrder,Source
bouafia vs. santana,UFC 319: Du Plessis vs. Chimaev,2025-08-16,9,fightodds.io
dana white's contender series: contender series 2025: week 1,UFC 319: Du Plessis vs. Chimaev,2025-08-16,8,fightodds.io
events,UFC 319: Du Plessis vs. Chimaev,2025-08-16,4,fightodds.io
events ufc ufc 319: du plessis vs. chimaev,UFC 319: Du Plessis vs. Chimaev,2025-08-16,3,fightodds.io
events ufc ufc 319: du plessis vs. chimaev ufc 319: du plessis vs. chimaev event information,UFC 319: Du Plessis vs. Chimaev,2025-08-16,2,fightodds.io
home,UFC 319: Du Plessis vs. Chimaev,2025-08-16,7,fightodds.io
home odds promotions events terms,UFC 319: Du Plessis vs. Chimaev,2025-08-16,7,fightodds.io
home odds promotions events terms upcoming events dana white's contender series: contender series 2025: week 1 one friday fights 120 lfa 214: fernando vs. latu recent events anthony pettis fc 19: virignia fight night iv ces 81: carvalho vs. bohn ksw 109: kuberski vs. paczuski upcoming fights bouafia vs. santana or.pitisak vs. pk saenchai davis vs. rabadanov gasanov vs. aryshev fernando vs. latu juarez vs. kamyron du plessis vs. chimaev you must be 18 years old or over to use this site. please bet responsibly.,UFC 319: Du Plessis vs. Chimaev,2025-08-16,6,fightodds.io
or.pitisak vs. pk saenchai,UFC 319: Du Plessis vs. Chimaev,2025-08-16,9,fightodds.io
promotions events odds sportsbooks about widget handicappers tools american beta,UFC 319: Du Plessis vs. Chimaev,2025-08-16,1,fightodds.io
ufc,UFC 319: Du Plessis vs. Chimaev,2025-08-16,4,fightodds.io
upcoming events,UFC 319: Du Plessis vs. Chimaev,2025-08-16,8,fightodds.io
events ufc ufc fight night: walker vs. zhang,UFC Fight Night: Walker vs. Zhang,2025-08-23,3,fightodds.io
events ufc ufc fight night: walker vs. zhang ufc fight night: walker vs. zhang event information,UFC Fight Night: Walker vs. Zhang,2025-08-23,2,fightodds.io
events ufc ufc fight night: imavov vs. borralho,UFC Fight Night: Imavov vs. Borralho,2025-09-06,3,fightodds.io
events ufc ufc fight night: imavov vs. borralho ufc fight night: imavov vs. borralho event information,UFC Fight Night: Imavov vs. Borralho,2025-09-06,2,fightodds.io
events ufc ufc fight night: lopes vs. silva,UFC Fight Night: Lopes vs. Silva,2025-09-13,3,fightodds.io
events ufc ufc fight night: lopes vs. silva ufc fight night: lopes vs. silva event information,UFC Fight Night: Lopes vs. Silva,2025-09-13,2,fightodds.io
events ufc ufc fight night: ulberg vs. reyes,UFC Fight Night: Ulberg vs. Reyes,2025-09-27,3,fightodds.io
events ufc ufc fight night: ulberg vs. reyes ufc fight night: ulberg vs. reyes event information,UFC Fight Night: Ulberg vs. Reyes,2025-09-27,2,fightodds.io
events ufc ufc 320: ankalaev vs. pereira 2,UFC 320: Ankalaev vs. Pereira 2,2025-10-04,3,fightodds.io
events ufc ufc 320: ankalaev vs. pereira 2 ufc 320: ankalaev vs. pereira 2 event information,UFC 320: Ankalaev vs. Pereira 2,2025-10-04,2,fightodds.io
events ufc ufc fight night: oliveira vs. fiziev,UFC Fight Night: Oliveira vs. Fiziev,2025-10-11,3,fightodds.io
events ufc ufc fight night: oliveira vs. fiziev ufc fight night: oliveira vs. fiziev event information,UFC Fight Night: Oliveira vs. Fiziev,2025-10-11,2,fightodds.io
events ufc ufc 321: aspinall vs. gane,UFC 321: Aspinall vs. Gane,2025-10-25,3,fightodds.io
events ufc ufc 321: aspinall vs. gane ufc 321: aspinall vs. gane event information,UFC 321: Aspinall vs. Gane,2025-10-25,2,fightodds.io
